;Unnamed: 0.1;contract;district;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
62;62;Affitto, Libero;centro;44;1;3;Intera proprietà;430;25.0;0.0;1800.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82811741/
63;63;Affitto, Concordato;centro;42;1;da;Intera proprietà;380;60.0;0.0;1990.0;buono/abitabile;0.0;predisposizione impianto;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82769763/
64;64;Affitto;centro;90;3;2;Intera proprietà;500;230.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82770071/
65;65;Affitto, Concordato;centro;90;3;2;Intera proprietà;820;60.0;0.0;1500.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82761667/
66;66;Affitto, 3+2;centro;90;3;2;Intera proprietà;880;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82706605/
67;67;Affitto, Libero;centro;75;3;4;Intera proprietà;470;80.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/82716999/
68;68;Affitto;centro;48;2;3;Classe immobile media;480;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/82684311/
69;69;Affitto;centro;100;3;6;Classe immobile economica;600;0.0;0.0;1970.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82619977/
70;70;Affitto, Libero;centro;60;3;7;Intera proprietà;510;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/82583875/
71;71;Affitto, 3+2;centro;87;4;1;Intera proprietà;540;20.0;0.0;1900.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82390826/
72;72;Affitto, Transitorio;centro;115;5;6;Intera proprietà;600;130.0;0.0;1960.0;buono/abitabile;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/82331026/
73;73;Affitto;centro;100;3;2;Intera proprietà;600;50.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82323212/
74;74;Affitto, 3+2;centro;110;4;1;Intera proprietà;650;250.0;0.0;1975.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82300768/
76;76;Affitto;centro;75;0;1;0;680;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/81973044/
77;77;Affitto, 4+4;centro;110;4;Piano;Intera proprietà;880;30.0;0.0;1980.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82146534/
