;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
632;Affitto;san-donato;Parziale proprietà, classe immobile media;65;3;Ultimo;Intera proprietà;655;40;;1900.0;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/79869401/
633;Affitto;san-donato;Parziale proprietà, classe immobile media;28;1;3°;Classe immobile media;350;20;;1950.0;ottimo/ristrutturato;autonomo;;;;;None;;https://www.immobiliare.it/annunci/79878367/
634;Affitto;san-donato;Parziale proprietà, classe immobile media;70;3;1°;Intera proprietà;570;40;;;nuovo/incostruzione;autonomo;;;;;None;;https://www.immobiliare.it/annunci/79846361/
635;Affitto;san-donato;Parziale proprietà, classe immobile media;68;2;1°;;850;;;;buono/abitabile;centralizzato;;;;;None;A3;https://www.immobiliare.it/annunci/79781889/
636;Affitto;san-donato;Parziale proprietà, classe immobile media;22;1;3°;Intera proprietà;275;20;;1920.0;buono/abitabile;autonomo;;;;;predisposizione impianto;G ;https://www.immobiliare.it/annunci/79711325/
637;Affitto;san-donato;Parziale proprietà, classe immobile media;60;3;3°;Intera proprietà;420;40;;1930.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/79705719/
638;Affitto;san-donato;Parziale proprietà, classe immobile media;40;2;Piano;Intera proprietà;320;50;;;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/79702979/
639;Affitto;san-donato;Parziale proprietà, classe immobile media;40;2;7°;Intera proprietà;280;40;;;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/79656433/
640;Affitto;san-donato;Parziale proprietà, classe immobile media;25;1;Ultimo;Intera proprietà;320;20;;1900.0;ottimo/ristrutturato;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/79633805/
641;Affitto;san-donato;Parziale proprietà, classe immobile media;100 | commerciale 104;3;da;Intera proprietà;558;70;;1930.0;buono/abitabile;;;;;;None;D ;https://www.immobiliare.it/annunci/79626135/
642;Affitto;san-donato;Parziale proprietà, classe immobile media;23;1;3°;Classe immobile signorile;400;;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/79634775/
643;Affitto;san-donato;Parziale proprietà, classe immobile media;120;4;4°;Intera proprietà;750;100;;1960.0;ottimo/ristrutturato;centralizzato;;;;;None;C ;https://www.immobiliare.it/annunci/79615649/
644;Affitto;san-donato;Parziale proprietà, classe immobile media;80;4;Ammezzato,;Intera proprietà;465;50;;;buono/abitabile;;;;;;centralizzato;G ;https://www.immobiliare.it/annunci/79611271/
