;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica;Arredato S/N;Link annuncio;Price
2380;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;38;2;Ultimo;Intera proprietà;350;50.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79286365/;350
2381;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;45;2;7°;Intera proprietà;490;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79266297/;490
2382;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;103;3;5°;0;750;0.0;0.0;0.0;0;0;None;0;Arredato;https://www.immobiliare.it/annunci/79225367/;750
2383;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;70;3;3°;Classe immobile media;550;62.0;66.0;0.0;buono/abitabile;centralizzato;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79013421/;550
2384;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;400;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78946903/;400
2385;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;72;3;3°;Intera proprietà;420;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78932659/;420
2386;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;70;3;0;Intera proprietà;500;70.0;0.0;0.0;0;centralizzato;None;               Non classificabile              ;Non arredato;https://www.immobiliare.it/annunci/78899279/;500
2387;               Affitto, transitorio            ;regio-parco;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;500;40.0;20.0;1900.0;ottimo/ristrutturato;centralizzato;None;               F              ;Arredato;https://www.immobiliare.it/annunci/78819491/;500
2388;               Affitto, 3+2            ;regio-parco;Parziale proprietà, classe immobile media;70;3;3°;Intera proprietà;440;130.0;0.0;1960.0;buono/abitabile;centralizzato;None;               E              ;Non arredato;https://www.immobiliare.it/annunci/78836207/;440
2389;               Affitto, transitorio            ;regio-parco;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;450;50.0;0.0;1920.0;buono/abitabile;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/78502751/;450
2390;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;55;2;3°;Intera proprietà;470;45.0;50.0;1930.0;ottimo/ristrutturato;autonomo;None;               G              ;Non arredato;https://www.immobiliare.it/annunci/78433615/;470
2391;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;65;3;1°;Intera proprietà;620;60.0;58.0;1900.0;buono/abitabile;centralizzato;None;               F              ;Arredato;https://www.immobiliare.it/annunci/78414495/;620
2392;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;55;2;4°;Intera proprietà;450;0.0;0.0;1900.0;ottimo/ristrutturato;autonomo;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78413337/;450
2393;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;63;2;Piano;Intera proprietà;650;50.0;41.0;1920.0;nuovo/incostruzione;autonomo;None;               E              ;0;https://www.immobiliare.it/annunci/78327945/;650
2394;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;45;2;Ultimo;Intera proprietà;530;25.0;0.0;0.0;buono/abitabile;autonomo;None;               D              ;Parzialmente arredato;https://www.immobiliare.it/annunci/78111566/;530
2395;               Affitto, transitorio            ;regio-parco;Parziale proprietà, classe immobile media;65;3;2°;Intera proprietà;420;35.0;0.0;1950.0;ottimo/ristrutturato;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/78098268/;420
2396;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;350;50.0;50.0;1955.0;daristrutturare;centralizzato;None;0;Non arredato;https://www.immobiliare.it/annunci/77608890/;350
2398;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;115;4;3°;Intera proprietà;630;80.0;0.0;0.0;centralizzato;assente;None;194,00 kWh/m²a;Parzialmente arredato;https://www.immobiliare.it/annunci/75342800/;630
2399;               Affitto, 4+4            ;regio-parco;Parziale proprietà, classe immobile media;90;4;1°;Intera proprietà;800;60.0;0.0;1900.0;buono/abitabile;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/74925796/;800
2400;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;50;2;4°;Intera proprietà;430;50.0;0.0;0.0;buono/abitabile;autonomo;None;0;Non arredato;https://www.immobiliare.it/annunci/74476716/;430
2401;               Affitto            ;regio-parco;Parziale proprietà, classe immobile media;100;3;1°;Intera proprietà;790;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               A2              ;Arredato;https://www.immobiliare.it/annunci/71800320/;790
2402;               Affitto, transitorio            ;regio-parco;Parziale proprietà, classe immobile media;75;3;5°;Intera proprietà;590;90.0;0.0;1940.0;buono/abitabile;centralizzato;None;               G              ;Arredato;https://www.immobiliare.it/annunci/65597011/;590
2403;               Affitto, transitorio            ;regio-parco;Parziale proprietà, classe immobile media;40;2;3°;Intera proprietà;500;40.0;0.0;1920.0;ottimo/ristrutturato;autonomo;None;               C              ;Arredato;https://www.immobiliare.it/annunci/62390762/;500
