;riferimento e data annuncio;contratto;tipologia;superficie;locali;piano;totale piani edificio;disponibilità;tipo proprietà;altre caratteristiche;prezzo;spese condominio;informazioni catastali;anno di costruzione;stato;riscaldamento;classe energetica;immobile garantito;climatizzazione;spese aggiuntive;certificazione energetica;prestazione energetica del fabbricato;posti auto;indice prest. energetica rinnovabile;zona;links
0;1307A;Affitto;Appartamento;48 m²;1 camera da letto, 1 bagno, cucina angolo cottura;2° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile signorile;Cancello elettrico;€ 580/mese;€ 55/mese;Classe A/2;2008;Ottimo / Ristrutturato;Centralizzato, ad aria;D 143,99 kWh/m²anno;;Autonomo, freddo;;;;;;aurora;https://www.immobiliare.it/annunci/80696205/
0;EK-80695869 - 02/06/2020;Affitto;Appartamento;26 m²;1 locale, 1 bagno, cucina angolo cottura;5° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Cancello elettrico;€ 380/mese;;Classe A/5;1906;Ottimo / Ristrutturato;Autonomo, ad aria, alimentato a pompa di calore;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;Autonomo, freddo/caldo;;;;;;aurora;https://www.immobiliare.it/annunci/80695869/
0;EK-80695675 - 02/06/2020;Affitto;Appartamento;35 m²;1 locale, 1 bagno, cucina a vista;4° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Cancello elettrico;€ 510/mese;;Classe A/5;1930;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80695675/
0;EK-80694451 - 02/06/2020;Affitto;Appartamento;30 m²;1 locale, 1 bagno, cucina a vista;Piano rialzato;5 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 300/mese;€ 30/mese;Classe A/3, rendita € 271;1940;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a gas;G ≥ 175 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80694451/
0;Premiercase;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 400/mese;€ 50/mese;Classe A/4, rendita € 304;1930;;Autonomo, a radiatori, alimentato a metano;G 251,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80696259/
0;40312562 - 05/06/2020;Affitto;Appartamento;45 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina a vista;Piano terra, con ascensore, con accesso disabili;5 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 630/mese;;Classe A/4, rendita € 271;1930;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a metano;;;Autonomo, freddo/caldo;;In attesa di certificazione;;;;aurora;https://www.immobiliare.it/annunci/80683457/
0;EK-80648163 - 01/06/2020;Affitto;Appartamento;40 m²;1 camera da letto, cucina abitabile;2° stabile, con ascensore;;Libero;Intera proprietà;Balcone;€ 500/mese;€ 65/mese;;;Ottimo / Ristrutturato;Centralizzato;F 108,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80648163/
0;ce64;Affitto;Mansarda;43 m²;1 camera da letto, 1 bagno, cucina abitabile;Ultimo stabile;4 piani;;Intera proprietà;Porta blindata;€ 350/mese;€ 20/mese;Classe A/2;;Buono / Abitabile;Autonomo, a pavimento;E 320,00 kWh/m²anno;;Autonomo, freddo;;;;;;aurora;https://www.immobiliare.it/annunci/80681735/
0;EK-80679229 - 01/06/2020;Affitto;Appartamento;20 m²;1 camera da letto, 1 bagno, cucina angolo cottura;Piano terra, con ascensore;6 piani;Libero;Intera proprietà, classe immobile signorile;Esposizione esterna;€ 250/mese;;;;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;D ≥ 175 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80679229/
0;EK-80636291 - 09/06/2020;Affitto;Appartamento;34 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;6° stabile, con ascensore;6 piani;Libero;Intera proprietà;Balcone;€ 650/mese;€ 39/mese;;;Ottimo / Ristrutturato;Autonomo;F 330,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80636291/
0;EK-80652451 - 01/06/2020;Affitto;Appartamento;38 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile, con ascensore;;Libero;Intera proprietà;Balcone;€ 470/mese;;;;Ottimo / Ristrutturato;Autonomo;F ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80652451/
0;EK-80621763 - 03/06/2020;Affitto;Appartamento;63 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;Piano rialzato, con ascensore, con accesso disabili;4 piani;Libero;Intera proprietà, classe immobile media;Cancello elettrico;€ 600/mese;€ 35/mese;Classe A/3, rendita € 441;1920;Ottimo / Ristrutturato;Autonomo, a radiatori;E 13,04 kWh/m²anno;;Predisposizione impianto;;;invernale;;;aurora;https://www.immobiliare.it/annunci/80621763/
0;Bilocale arredato via Chivasso - 29/05/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina a vista;1° stabile;1 piano;Libero;Intera proprietà, classe immobile media;Balcone;€ 470/mese;€ 20/mese;Classe A/3, rendita € 600;;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;E 120,00 kWh/m²anno;Dati certificabili, documentazione completa;;;;;1 in garage/box;;aurora;https://www.immobiliare.it/annunci/80600515/
0;A 1422 -(693736) - 28/05/2020;Affitto;Appartamento;45 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;Ultimo stabile;4 piani;Libero;Intera proprietà;Porta blindata;€ 400/mese;€ 50/mese;;1950;Buono / Abitabile;Autonomo, a radiatori, alimentato a gas;;;;;Non classificabile;;;;aurora;https://www.immobiliare.it/annunci/80596587/
0;EK-70825310 - 28/05/2020;Affitto;Mansarda;38 m²;2 (1 camera da letto, 1 altro), 1 bagno;3° stabile;3 piani;Libero;Intera proprietà;Arredato;€ 450/mese;€ 25/mese;;;Ottimo / Ristrutturato;Autonomo;E 400,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/70825310/
