;contract;district;renting_type;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
57;Affitto, 3+2;centro;Intera proprietà, classe immobile media;57;2;5°;Intera proprietà;500;;;2009.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/82908313/
58;Affitto, Libero;centro;Intera proprietà, classe immobile media;90;4;2°;Classe immobile signorile;800;70;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/82893259/
59;Affitto, 4+4;centro;Intera proprietà, classe immobile media;120;4;2°;Intera proprietà;900;;;1800.0;ottimo/ristrutturato;;None;;;;;https://www.immobiliare.it/annunci/82868349/
60;Affitto, Concordato;centro;Intera proprietà, classe immobile media;97;4;4°;Classe immobile media;750;100;;;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/82840745/
61;Affitto;centro;Intera proprietà, classe immobile media;68;3;2°;Intera proprietà;690;50;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/82840183/
62;Affitto, Libero;centro;Intera proprietà, classe immobile media;44;1;3°;Intera proprietà;430;25;;1800.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82811741/
63;Affitto, Concordato;centro;Intera proprietà, classe immobile media;42;1;da;Intera proprietà;380;60;;1990.0;buono/abitabile;;predisposizione impianto;;;;autonomo;https://www.immobiliare.it/annunci/82769763/
64;Affitto;centro;Intera proprietà, classe immobile media;90;3;2°;Intera proprietà;500;230;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/82770071/
65;Affitto, Concordato;centro;Intera proprietà, classe immobile media;90;3;2°;Intera proprietà;820;60;;1500.0;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/82761667/
66;Affitto, 3+2;centro;Intera proprietà, classe immobile media;90;3;2°;Intera proprietà;880;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82706605/
67;Affitto, Libero;centro;Intera proprietà, classe immobile media;75;3;4°;Intera proprietà;470;80;;;ottimo/ristrutturato;;None;;;;;https://www.immobiliare.it/annunci/82716999/
68;Affitto;centro;Intera proprietà, classe immobile media;48;2;3°;Classe immobile media;480;;;;;;None;;;;;https://www.immobiliare.it/annunci/82684311/
69;Affitto;centro;Intera proprietà, classe immobile media;100;3;6°;Classe immobile economica;600;;;1970.0;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/82619977/
70;Affitto, Libero;centro;Intera proprietà, classe immobile media;60;3;7°;Intera proprietà;510;;;;ottimo/ristrutturato;;None;;;;;https://www.immobiliare.it/annunci/82583875/
71;Affitto, 3+2;centro;Intera proprietà, classe immobile media;87;4;1°;Intera proprietà;540;20;;1900.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82390826/
72;Affitto, Transitorio;centro;Intera proprietà, classe immobile media;115 | commerciale 137;5;6°;Intera proprietà;600;130;;1960.0;buono/abitabile;;None;;;;;https://www.immobiliare.it/annunci/82331026/
73;Affitto;centro;Intera proprietà, classe immobile media;100;3;2°;Intera proprietà;600;50;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82323212/
74;Affitto, 3+2;centro;Intera proprietà, classe immobile media;110;4;1°;Intera proprietà;650;250;;1975.0;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/82300768/
75;Affitto, 4+4;centro;Intera proprietà, classe immobile media;90;3;2°;Intera proprietà;1100;;;1980.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/82231746/
76;Affitto;centro;Intera proprietà, classe immobile media;75;;1°;;680;;;;ottimo/ristrutturato;;None;;;;;https://www.immobiliare.it/annunci/81973044/
77;Affitto, 4+4;centro;Intera proprietà, classe immobile media;110;4;Piano;Intera proprietà;880;30;;1980.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/82146534/
78;Affitto, 4+4;centro;Intera proprietà, classe immobile media;220;4;3°;Intera proprietà;1500;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/81982578/
79;Affitto, 4+4;centro;Intera proprietà, classe immobile media;114;4;1°;Intera proprietà;650;200;;1970.0;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/81814636/
80;Affitto;centro;Intera proprietà, classe immobile media;50;2;2°;Intera proprietà;650;100;;;ottimo/ristrutturato;;None;;;;centralizzato;https://www.immobiliare.it/annunci/81754040/
81;Affitto;centro;Intera proprietà, classe immobile media;650;5;3°;Classe immobile signorile;Prezzo su richiesta;;;;daristrutturare;;None;;;;autonomo;https://www.immobiliare.it/annunci/81563231/
82;Affitto, 4+4;centro;Intera proprietà, classe immobile media;100;3;1°;Intera proprietà;700;;;;;;None;;;;;https://www.immobiliare.it/annunci/80980867/
83;Affitto, Libero;centro;Intera proprietà, classe immobile media;60 | commerciale 63;3;2°;Intera proprietà;700;;;;;;None;;;;;https://www.immobiliare.it/annunci/80968583/
84;Affitto;centro;Intera proprietà, classe immobile media;45;2;Piano;;550;20;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/80801415/
85;Affitto;centro;Intera proprietà, classe immobile media;30;1;Piano;Intera proprietà;300;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/80684169/
86;Affitto;centro;Intera proprietà, classe immobile media;70;3;2°;Classe immobile signorile;700;60;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/80684489/
87;Affitto;centro;Intera proprietà, classe immobile media;30;1;1°;Intera proprietà;320;10;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/80674727/
88;Affitto;centro;Intera proprietà, classe immobile media;95;3;2°;Intera proprietà;850;117;;2000.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/80648885/
89;Affitto;centro;Intera proprietà, classe immobile media;100;5;4°;Intera proprietà;1000;333;;;ottimo/ristrutturato;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/80459275/
90;Affitto, Concordato;centro;Intera proprietà, classe immobile media;91 | commerciale 99;3;Piano;Intera proprietà;530;100;;1964.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/80089555/
91;Affitto, Libero;centro;Intera proprietà, classe immobile media;45;2;1°;Classe immobile media;400;30;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/79437657/
92;Affitto, 4+4;centro;Intera proprietà, classe immobile media;100;3;3°;Intera proprietà;1040;60;;1600.0;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/78977531/
93;Affitto;centro;Intera proprietà, classe immobile media;108;5;3°;Intera proprietà;990;125;;1980.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/78403727/
94;Affitto;centro;Intera proprietà, classe immobile media;25;1;4°;Intera proprietà;300;;;;buono/abitabile;;None;;;;;https://www.immobiliare.it/annunci/78393989/
95;Affitto;centro;Intera proprietà, classe immobile media;120;3;1°;Intera proprietà;1000;67;;;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/77995996/
96;Affitto, 3+2;centro;Intera proprietà, classe immobile media;70;3;2°;Intera proprietà;500;160;;1960.0;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/74113180/
97;Affitto, Concordato;centro;Intera proprietà, classe immobile media;66;2;Piano;Intera proprietà;470;60;;1980.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/72535614/
98;Affitto, 3+2;centro;Intera proprietà, classe immobile media;12;1;3°;Classe immobile media;350;;;1968.0;ottimo/ristrutturato;;None;;;;centralizzato;https://www.immobiliare.it/annunci/65031848/
99;Affitto, 3+2;centro;Intera proprietà, classe immobile media;60;3;3°;Classe immobile media;450;100;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/61835720/
100;Affitto;centro;Intera proprietà, classe immobile media;35;1;2°;Classe immobile media;390;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/60313180/
101;Affitto, 4+4;centro;Intera proprietà, classe immobile media;80;3;1°;Intera proprietà;550;50;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/38322249/
102;Affitto, 3+2;periferia-est;Intera proprietà, classe immobile media;62;2;da;Intera proprietà;450;60;;2005.0;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84207748/
103;Affitto;periferia-est;Intera proprietà, classe immobile media;101;4;;Intera proprietà;600;;;1980.0;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/83769653/
104;Affitto, 4+4;periferia-est;Intera proprietà, classe immobile media;55;2;3°;Intera proprietà;450;30;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83357211/
105;Affitto;periferia-nord;Intera proprietà, classe immobile media;96;4;2°;Intera proprietà;580;50;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83809914/
106;Affitto;periferia-nord;Intera proprietà, classe immobile media;26;2;;Intera proprietà;349;;;1960.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83366823/
107;Affitto;periferia-nord;Intera proprietà, classe immobile media;200;4;Piano;Classe immobile media;700;;;;;;None;;;;;https://www.immobiliare.it/annunci/83054873/
108;Affitto;periferia-nord;Intera proprietà, classe immobile media;36;1;2°;Intera proprietà;380;50;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/82840825/
109;Affitto;periferia-nord;Intera proprietà, classe immobile media;80;3;2°;Intera proprietà;600;50;;;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/82539968/
110;Affitto, 4+4;periferia-nord;Intera proprietà, classe immobile media;35;1;2°;Classe immobile media;380;50;;1996.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/78480065/
111;Affitto, 3+2;periferia-ovest;Intera proprietà, classe immobile media;60;2;1°;Intera proprietà;465;25;;;;;None;;;;autonomo;https://www.immobiliare.it/annunci/84162348/
112;Affitto, Concordato;periferia-ovest;Intera proprietà, classe immobile media;56;2;da;Intera proprietà;385;70;;2000.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/84112106/
113;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;90;4;3°;Intera proprietà;750;;;2001.0;buono/abitabile;;predisposizione impianto;;;;autonomo;https://www.immobiliare.it/annunci/84030400/
114;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;95;5;;Intera proprietà;750;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/83590095/
115;Affitto, 3+2;periferia-ovest;Intera proprietà, classe immobile media;100;4;2°;Intera proprietà;700;75;;2006.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83465217/
116;Affitto, Libero;periferia-ovest;Intera proprietà, classe immobile media;50;2;1°;Intera proprietà;450;;;;;;None;;;;;https://www.immobiliare.it/annunci/83376119/
117;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;110;4;1°;Intera proprietà;600;50;;1970.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83341545/
118;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;95;4;2°;Intera proprietà;550;;;1970.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/82996003/
119;Affitto;periferia-ovest;Intera proprietà, classe immobile media;120;5;Piano;Intera proprietà;850;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83006701/
120;Affitto, Concordato;periferia-ovest;Intera proprietà, classe immobile media;100;4;2°;Classe immobile signorile;700;60;;2008.0;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/82919471/
121;Affitto;periferia-ovest;Intera proprietà, classe immobile media;140;4;1°;Intera proprietà;1010;50;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82670657/
122;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;94;3;da;Intera proprietà;520;150;;1960.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/81699468/
123;Affitto, 4+4;periferia-ovest;Intera proprietà, classe immobile media;98;3;2°,;Intera proprietà;700;85;;1995.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/75898200/
124;Affitto;periferia-ovest;Intera proprietà, classe immobile media;312;5;;Classe immobile economica;1500;;;1980.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/67262271/
125;Affitto, 3+2;periferia-ovest;Intera proprietà, classe immobile media;47;2;1°,;Intera proprietà;480;;;2004.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/63764186/
126;Affitto;periferia-sud;Intera proprietà, classe immobile media;40;1;Piano;Intera proprietà;340;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/84203598/
127;Affitto;periferia-sud;Intera proprietà, classe immobile media;200;5;Piano;;950;;;1980.0;;;None;;;;;https://www.immobiliare.it/annunci/84077110/
128;Affitto, 4+4;periferia-sud;Intera proprietà, classe immobile media;55;2;3°;Intera proprietà;500;80;;;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83972580/
129;Affitto;periferia-sud;Intera proprietà, classe immobile media;90;3;1°;;850;;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83835220/
130;Affitto;periferia-sud;Intera proprietà, classe immobile media;200;5;;;1900;;;;ottimo/ristrutturato;;None;;;;;https://www.immobiliare.it/annunci/83835224/
131;Affitto, 3+2;periferia-sud;Intera proprietà, classe immobile media;90;4;2°;Intera proprietà;450;150;;1965.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83583695/
132;Affitto;periferia-sud;Intera proprietà, classe immobile media;100;3;2°;Intera proprietà;750;150;;;ottimo/ristrutturato;;None;;;;centralizzato;https://www.immobiliare.it/annunci/75256404/
133;Affitto;periferia-sud;Intera proprietà, classe immobile media;90;3;1°;;850;;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/82672391/
134;Affitto;periferia-sud;Intera proprietà, classe immobile media;108;5;3°;Intera proprietà;990;125;;1980.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/78403727/
135;Affitto, Transitorio;periferia-sud;Intera proprietà, classe immobile media;190;5;Piano;Intera proprietà;700;;;1970.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/77506516/
