;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
1533;Affitto;centro;170;4.0;4°;Intera proprietà;2500;158.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/73551362/
1534;Affitto;centro;45;2.0;2°;Intera proprietà;650;50.0;0.0;0.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;C ;https://www.immobiliare.it/annunci/73479430/
1535;Affitto;centro;60;2.0;1°;0;1100;175.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/69338788/
1536;Affitto;centro;45;2.0;0;Intera proprietà;430;20.0;0.0;1900.0;0;autonomo;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/73330384/
1537;Affitto;centro;50;2.0;1°;Intera proprietà;650;35.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/73267116/
1538;Affitto;centro;125;4.0;5°;Intera proprietà;850;120.0;0.0;1880.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;autonomo;F ;https://www.immobiliare.it/annunci/73177480/
1539;Affitto;centro;130;2.0;2°;Intera proprietà;Prezzo su richiesta;150.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/73177296/
1540;Affitto;centro;70;2.0;2°;Intera proprietà;850;50.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/73129608/
1541;Affitto;centro;55;1.0;Ultimo;Intera proprietà;500;60.0;0.0;0.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;F ;https://www.immobiliare.it/annunci/73070092/
1542;Affitto;centro;112;4.0;da;Intera proprietà;1600;100.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/72989586/
1543;Affitto;centro;124;4.0;4°;Intera proprietà;2400;190.0;0.0;2017.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A1;https://www.immobiliare.it/annunci/72942438/
1544;Affitto;centro;112;3.0;3°;Intera proprietà;2250;172.0;0.0;2017.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A1;https://www.immobiliare.it/annunci/72942436/
1545;Affitto;centro;114;3.0;2°;Intera proprietà;2200;176.0;0.0;2017.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A1;https://www.immobiliare.it/annunci/72942442/
1546;Affitto;centro;65;3.0;3°;Intera proprietà;1300;100.0;0.0;2017.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;A1;https://www.immobiliare.it/annunci/72942430/
