,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
57,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,1,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
58,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,60,1,0,0,€ 400 al mese,autonomo,0,0,0,0,aurora
59,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,1,0,0,€ 300 al mese,autonomo,0,0,0,0,aurora
60,1900,assente,completamente arredato,0,1,Sì,0,Sì,abitabile,0,2,0,0,50,2 di 3 piani,0,0,€ 390 al mese,autonomo,0,€ 50/mese,libero,0,aurora
61,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,46,3,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
62,0,assente,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,50,3,0,0,€ 300 al mese,autonomo,0,0,0,0,aurora
63,0,0,0,0,1,0,0,0,0,0,1,0,0,46,0,0,0,€ 350 al mese,0,0,0,0,0,aurora
64,1900,assente,completamente arredato,0,2,0,0,0,abitabile,0,3,0,0,100,4 di 5 piani,0,0,€ 1.100 al mese,autonomo,0,€ 20/mese,libero,0,aurora
65,0,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,65,2,0,0,€ 600 al mese,centralizzato cont. ind.,0,0,0,0,aurora
66,1930,0,completamente arredato,Sì,1,0,0,0,abitabile,0,3,0,0,80,1,0,0,€ 580 al mese,autonomo,0,€ 40/mese,libero,0,aurora
67,0,0,parzialmente arredato,Sì,1,Sì,0,0,0,0,2,0,0,50,0,0,0,€ 400 al mese,0,0,0,0,0,aurora
68,0,0,completamente arredato,0,1,Sì,0,0,abitabile,0,1,0,0,35,1,0,0,€ 230 al mese,autonomo,0,0,0,0,aurora
69,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,65,7,0,0,€ 490 al mese,autonomo,0,0,0,Sì,aurora
70,0,0,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,2,0,0,60,2,0,0,€ 430 al mese,centralizzato cont. ind.,0,0,0,0,aurora
71,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,50,4,0,0,€ 470 al mese,autonomo,0,0,0,0,aurora
72,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,3,0,0,60,1 di 1 piani,0,0,€ 550 al mese,autonomo,0,€ 50/mese,0,0,aurora
73,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,45,5,0,0,€ 500 al mese,autonomo,0,€ 50/mese,0,0,aurora
74,0,0,completamente arredato,Sì,1,0,0,0,abitabile,0,1,0,0,30,3,0,0,€ 330 al mese,centralizzato,0,0,0,0,aurora
75,1900,0,completamente arredato,0,1,0,0,0,abitabile,0,2,0,0,45,5 di 5 piani,0,0,€ 400 al mese,autonomo,0,€ 25/mese,libero,0,aurora
76,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,65,2,0,0,€ 650 al mese,centralizzato cont. ind.,0,0,0,0,aurora
77,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,30,3,0,0,€ 340 al mese,autonomo,0,0,0,0,aurora
78,1870,0,completamente arredato,Sì,1,0,0,0,nuovo,0,2,0,0,35,4 di 4 piani,0,0,€ 450 al mese,autonomo,0,€ 50/mese,libero,0,aurora
79,1800,assente,completamente arredato,0,1,0,0,0,abitabile,comune,1,0,0,40,ultimo di 2 piani,0,0,€ 360 al mese,autonomo,0,€ 42/mese,libero,0,aurora
80,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,2,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
81,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,1,0,0,25,1,0,0,€ 200 al mese,autonomo,0,0,0,0,aurora
82,0,0,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,2,0,0,60,2,0,0,€ 430 al mese,centralizzato cont. ind.,0,0,0,0,aurora
83,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,65,7,0,0,€ 490 al mese,autonomo,0,0,0,Sì,aurora
84,0,0,completamente arredato,0,1,0,0,Sì,ristrutturato,0,1,0,0,35,piano terra,0,0,€ 230 al mese,autonomo,0,0,0,0,aurora
85,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,70,7,0,0,€ 390 al mese,autonomo,0,0,0,0,aurora
86,0,0,completamente arredato,0,1,Sì,0,0,abitabile,0,1,0,0,35,1,0,0,€ 230 al mese,autonomo,0,0,0,0,aurora
87,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,55,2,0,0,€ 370 al mese,autonomo,0,0,libero,0,aurora
88,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,25,4,0,0,€ 160 al mese,autonomo,0,0,0,0,aurora
89,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,50,5,0,0,€ 370 al mese,centralizzato,0,0,libero,0,aurora
90,0,0,0,0,1,0,0,0,0,0,2,0,0,60,0,0,0,€ 300 al mese,0,0,0,0,0,aurora
91,0,0,completamente arredato,0,1,0,0,Sì,ristrutturato,0,2,0,0,30,5,0,0,€ 400 al mese,autonomo,0,0,0,0,aurora
92,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,35,3,0,0,€ 310 al mese,autonomo,0,0,0,0,aurora
93,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,75,3,0,0,€ 530 al mese,0,0,0,0,0,aurora
94,0,0,0,0,1,0,0,0,0,0,2,0,0,40,0,0,0,€ 350 al mese,0,0,0,0,0,aurora
95,0,0,0,0,1,0,0,0,0,0,3,0,0,70,0,0,0,€ 600 al mese,0,0,0,0,0,aurora
96,0,0,0,0,1,0,0,0,0,0,2,0,0,65,0,0,0,€ 550 al mese,0,0,0,0,0,aurora
