;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
83;               Affitto, 4+4            ;centro;Intera proprietà;28;1;Ultimo;Intera proprietà;400;50;;1800.0;ottimo/ristrutturato;autonomo;assente;               G              
84;               Affitto            ;centro;Intera proprietà;160;5;3°;Classe immobile signorile;1500;100;133.0;;ottimo/ristrutturato;centralizzato;None;               E              
85;               Affitto, 6+6            ;centro;Intera proprietà;300;5;2°;Intera proprietà;2700;;;1950.0;ottimo/ristrutturato;centralizzato;autonomo;
86;               Affitto            ;centro;Intera proprietà;25;1;1°;Intera proprietà;380;;;1900.0;buono/abitabile;centralizzato;None;               G              
87;               Affitto, 4+4            ;centro;Intera proprietà;80;4;4°;Intera proprietà;1400;100;;;ottimo/ristrutturato;autonomo;None;               C              
88;               Affitto, 4+4            ;centro;Intera proprietà;80;4;4°;Intera proprietà;1400;100;;;ottimo/ristrutturato;autonomo;autonomo;               C              
89;               Affitto            ;centro;Intera proprietà;140;4;1°;Intera proprietà;1300;200;;1700.0;buono/abitabile;autonomo;assente;               G              
90;               Affitto, 4+4            ;centro;Intera proprietà;30;1;6°;Intera proprietà;650;20;16.0;1700.0;ottimo/ristrutturato;autonomo;assente;               D              
91;               Affitto, transitorio            ;centro;Intera proprietà;70;3;Con;Intera proprietà;1190;;;;ottimo/ristrutturato;centralizzato;None;               C              
92;               Affitto            ;centro;Intera proprietà;50;2;3°;Intera proprietà;1300;;108.0;;;centralizzato;None;               B              
93;               Affitto            ;centro;Intera proprietà;100;2;1°;Intera proprietà;1000;;;1700.0;ottimo/ristrutturato;autonomo;None;
94;               Affitto, 4+4            ;centro;Intera proprietà;70;3;1°;Intera proprietà;1200;200;;;ottimo/ristrutturato;autonomo;None;
95;               Affitto            ;centro;Intera proprietà;130;5;Ultimo;Intera proprietà;1050;90;70.0;1800.0;ottimo/ristrutturato;assente;None;               D              
96;               Affitto, 4+4            ;centro;Intera proprietà;200;5;2°;Intera proprietà;2200;150;108.0;1720.0;ottimo/ristrutturato;centralizzato;autonomo;               C              
97;               Affitto, 4+4            ;centro;Intera proprietà;130;5;3°;;1150;;;;nuovo/incostruzione;centralizzato;autonomo;
98;               Affitto            ;centro;Intera proprietà;45;2;2°;;630;120;;;ottimo/ristrutturato;centralizzato;None;               G              
99;               Affitto, 4+4            ;centro;Intera proprietà;140;5;1°;Intera proprietà;1100;50;0.0;1700.0;ottimo/ristrutturato;autonomo;None;               F              
100;               Affitto, 4+4            ;centro;Intera proprietà;200;5;5°;Intera proprietà;1400;130;;1890.0;ottimo/ristrutturato;autonomo;autonomo;               E              
101;               Affitto, libero            ;centro;Intera proprietà;40;2;3°;Intera proprietà;500;;;1900.0;ottimo/ristrutturato;autonomo;assente;               F              
102;               Affitto, 4+4            ;centro;Intera proprietà;65;3;5°;Intera proprietà;800;40;58.0;1800.0;daristrutturare;centralizzato;None;               E              
103;               Affitto, libero            ;centro;Intera proprietà;110;3;3°;Intera proprietà;1400;180;83.0;1900.0;ottimo/ristrutturato;centralizzato;assente;
104;               Affitto            ;centro;Intera proprietà;35;1;5°;;560;50;;;autonomo;0;None;
105;               Affitto, 4+4            ;centro;Intera proprietà;40;2;5°;Intera proprietà;650;90;;;buono/abitabile;centralizzato;assente;               G              
106;               Affitto, 4+4            ;centro;Intera proprietà;75;3;6°;Intera proprietà;950;90;66.0;1900.0;buono/abitabile;centralizzato;None;               G              
107;               Affitto            ;centro;Intera proprietà;80;3;1°;Intera proprietà;700;90;;1890.0;buono/abitabile;autonomo;None;               G              
108;               Affitto, 4+4            ;centro;Intera proprietà;260;5;4°;Intera proprietà;1500;112;94.0;1950.0;buono/abitabile;centralizzato;assente;               G              
109;               Affitto, libero            ;centro;Intera proprietà;55;2;2°;Intera proprietà;700;50;45.0;1900.0;ottimo/ristrutturato;autonomo;autonomo;
110;               Affitto            ;centro;Intera proprietà;100;4;Con;Intera proprietà;750;70;;;buono/abitabile;autonomo;None;
111;               Affitto, libero            ;centro;Intera proprietà;60;3;4°;Intera proprietà;800;100;;1700.0;ottimo/ristrutturato;autonomo;None;
112;               Affitto, concordato            ;centro;Intera proprietà;90;3;5°;Intera proprietà;650;70;83.0;1900.0;buono/abitabile;autonomo;None;
113;               Affitto            ;centro;Intera proprietà;56;2;3°;Intera proprietà;550;65;;;buono/abitabile;centralizzato;None;               F              
114;               Affitto            ;centro;Intera proprietà;160;4;1°;Intera proprietà;1000;125;125.0;;buono/abitabile;;None;
115;               Affitto, 4+4            ;centro;Intera proprietà;72;2;2°;Intera proprietà;1100;170;;1700.0;ottimo/ristrutturato;autonomo;autonomo;               C              
