;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
940;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;67;3;5°;Intera proprietà;550;50;75.0;;ottimo/ristrutturato;centralizzato;assente;               D              
941;               Affitto            ;barriera-di-milano;Intera proprietà;75;3;3°;Intera proprietà;550;83;;1965.0;buono/abitabile;centralizzato;assente;               G              
942;               Affitto            ;barriera-di-milano;Intera proprietà;75;2;4°;;550;;;;ottimo/ristrutturato;centralizzato;None;
943;               Affitto            ;barriera-di-milano;Intera proprietà;45;2;3°;Intera proprietà;280;35;50.0;;ottimo/ristrutturato;centralizzato;assente;               E              
944;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;80;3;4°;Intera proprietà;480;80;58.0;1960.0;buono/abitabile;centralizzato;None;               G              
945;               Affitto, libero            ;barriera-di-milano;Intera proprietà;80;3;4°;Intera proprietà;500;80;58.0;1960.0;buono/abitabile;centralizzato;None;               G              
946;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;20;1;2°;Intera proprietà;250;;0.0;1960.0;buono/abitabile;autonomo;autonomo;               F              
947;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;70;2;5°;Intera proprietà;450;60;85.0;1970.0;buono/abitabile;centralizzato;None;               E              
948;               Affitto, 3+2            ;barriera-di-milano;Intera proprietà;73;3;5°;Intera proprietà;416;70;;1960.0;buono/abitabile;centralizzato;None;               G              
949;               Affitto, libero            ;barriera-di-milano;Intera proprietà;80;3;5°;Intera proprietà;400;60;;;buono/abitabile;centralizzato;assente;               G              
950;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;40;2;3°;Intera proprietà;450;30;;;ottimo/ristrutturato;autonomo;None;               G              
951;               Affitto            ;barriera-di-milano;Intera proprietà;50;1;Ultimo;Intera proprietà;350;50;;;;autonomo;assente;
952;               Affitto, libero            ;barriera-di-milano;Intera proprietà;70;3;1°;Intera proprietà;450;;;1930.0;ottimo/ristrutturato;autonomo;assente;               F              
953;               Affitto, concordato            ;barriera-di-milano;Intera proprietà;73;3;Ultimo;Intera proprietà;416;70;91.0;1960.0;buono/abitabile;centralizzato;None;               G              
954;               Affitto            ;barriera-di-milano;Intera proprietà;55;2;Con;;450;;;;ottimo/ristrutturato;centralizzato;assente;
955;               Affitto, libero            ;barriera-di-milano;Intera proprietà;90;4;2°;Intera proprietà;600;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
956;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;55;2;5°;Intera proprietà;430;70;58.0;1965.0;ottimo/ristrutturato;centralizzato;assente;               E              
957;               Affitto            ;barriera-di-milano;Intera proprietà;50;2;5°;Intera proprietà;400;80;66.0;1965.0;buono/abitabile;centralizzato;None;               F              
958;               Affitto, concordato            ;barriera-di-milano;Intera proprietà;60;2;2°;Intera proprietà;340;80;41.0;;buono/abitabile;centralizzato;assente;               D              
959;               Affitto, libero            ;barriera-di-milano;Intera proprietà;70;3;1°;Intera proprietà;350;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
960;               Affitto            ;barriera-di-milano;Intera proprietà;75;2;1°;Intera proprietà;650;70;83.0;2002.0;ottimo/ristrutturato;centralizzato;"
                d              ";≥ 175 kWh/m²a
961;               Affitto, 3+2            ;barriera-di-milano;Intera proprietà;52;2;Piano;Intera proprietà;300;50;50.0;1960.0;ottimo/ristrutturato;centralizzato;None;               E              
962;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;68;3;4°;Intera proprietà;470;100;41.0;1940.0;ottimo/ristrutturato;centralizzato;autonomo;               F              
963;               Affitto, libero            ;barriera-di-milano;Intera proprietà;50;2;1°;Intera proprietà;400;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
964;               Affitto            ;barriera-di-milano;Intera proprietà;75;3;Piano;Classe immobile media;450;50;50.0;1950.0;buono/abitabile;centralizzato;assente;               G              
965;               Affitto, transitorio            ;barriera-di-milano;Intera proprietà;60;2;3°;Intera proprietà;439;220;;;buono/abitabile;centralizzato;None;               F              
966;               Affitto, 3+2            ;barriera-di-milano;Intera proprietà;98;4;1°;Classe immobile media;700;;;2012.0;nuovo/incostruzione;autonomo;assente;               B              
967;               Affitto, libero            ;barriera-di-milano;Intera proprietà;60;2;2°;Intera proprietà;400;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
968;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;45;2;1°;Classe immobile media;350;50;50.0;1960.0;buono/abitabile;centralizzato;assente;               G              
969;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;45;2;Ultimo;Classe immobile media;350;50;50.0;1960.0;buono/abitabile;centralizzato;assente;               G              
970;               Affitto            ;barriera-di-milano;Intera proprietà;90;4;2°;Intera proprietà;300;;;;;centralizzato;assente;               G              
971;               Affitto, libero            ;barriera-di-milano;Intera proprietà;45;2;1°;Intera proprietà;500;30;;1930.0;ottimo/ristrutturato;autonomo;None;               D              
972;               Affitto            ;barriera-di-milano;Intera proprietà;95;3;Ultimo;Intera proprietà;525;40;;;buono/abitabile;autonomo;assente;
973;               Affitto            ;barriera-di-milano;Intera proprietà;50;2;4°;Intera proprietà;500;50;50.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               F              
974;               Affitto            ;barriera-di-milano;Intera proprietà;80;3;4°;Intera proprietà;600;60;66.0;1958.0;ottimo/ristrutturato;centralizzato;assente;               F              
975;               Affitto, studenti (6-36 mesi)            ;barriera-di-milano;Intera proprietà;20;3;Piano;Intera proprietà;320;20;25.0;1960.0;ottimo/ristrutturato;autonomo;assente;               D              
976;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;50;2;Piano;Intera proprietà;400;50;58.0;1970.0;buono/abitabile;centralizzato;assente;               E              
977;               Affitto, 3+2            ;barriera-di-milano;Intera proprietà;75;3;1°;Intera proprietà;500;50;50.0;1965.0;ottimo/ristrutturato;centralizzato;autonomo;               G              
978;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;45;3;3°;Intera proprietà;320;50;;1960.0;buono/abitabile;centralizzato;None;               G              
979;               Affitto            ;barriera-di-milano;Intera proprietà;84;3;2°;Intera proprietà;650;100;;2017.0;nuovo/incostruzione;centralizzato;assente;               C              
980;               Affitto            ;barriera-di-milano;Intera proprietà;70;3;1°;Intera proprietà;550;50;58.0;;buono/abitabile;centralizzato;assente;               G              
981;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;65;2;Ultimo;Intera proprietà;550;50;0.0;;ottimo/ristrutturato;autonomo;autonomo;               D              
982;               Affitto            ;barriera-di-milano;Intera proprietà;50;2;Ultimo;Intera proprietà;400;;66.0;1960.0;ottimo/ristrutturato;centralizzato;None;               F              
983;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;90;1;2°;Intera proprietà;500;50;;2000.0;ottimo/ristrutturato;centralizzato;centralizzato;               C              
984;               Affitto            ;barriera-di-milano;Intera proprietà;70;2;5°;;600;50;;;autonomo;presente;None;212,00 kWh/m²a
985;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;50;2;1°;Intera proprietà;325;50;;;buono/abitabile;autonomo;assente;               D              
986;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;48;2;4°;Intera proprietà;500;40;54.0;1950.0;ottimo/ristrutturato;centralizzato;assente;               G              
987;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;50;2;1°;Intera proprietà;325;50;;;buono/abitabile;autonomo;assente;               C              
988;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;40;2;2°;Intera proprietà;300;30;;1930.0;ottimo/ristrutturato;autonomo;autonomo;
989;               Affitto, 4+4            ;barriera-di-milano;Intera proprietà;25;1;Piano;Intera proprietà;350;40;;1940.0;ottimo/ristrutturato;autonomo;None;               F              
990;               Affitto            ;barriera-di-milano;Intera proprietà;80;3;4°;Intera proprietà;450;120;;;ottimo/ristrutturato;centralizzato;assente;               G              
991;               Affitto            ;barriera-di-milano;Intera proprietà;34;1;2°;;350;30;;;ottimo/ristrutturato;autonomo;None;               D              
992;               Affitto            ;rebaudengo;Intera proprietà;30;1;Piano;;550;;;;ottimo/ristrutturato;centralizzato;None;
993;               Affitto            ;rebaudengo;Intera proprietà;45;2;1°;Intera proprietà;400;;;1986.0;ottimo/ristrutturato;centralizzato;assente;               D              
994;               Affitto, 4+4            ;rebaudengo;Intera proprietà;90;3;Ultimo;Intera proprietà;650;60;;1960.0;ottimo/ristrutturato;autonomo;assente;
995;               Affitto            ;rebaudengo;Intera proprietà;35;2;Piano;Classe immobile media;400;;;;buono/abitabile;autonomo;None;               Non classificabile              
996;               Affitto, libero            ;rebaudengo;Intera proprietà;58;2;1°;Intera proprietà;350;;;;ottimo/ristrutturato;centralizzato;None;
997;               Affitto            ;rebaudengo;Intera proprietà;50;2;4°;Intera proprietà;400;;;1983.0;ottimo/ristrutturato;centralizzato;None;               D              
998;               Affitto            ;rebaudengo;Intera proprietà;55;2;4°;Intera proprietà;350;40;;1950.0;buono/abitabile;autonomo;assente;
999;               Affitto            ;rebaudengo;Intera proprietà;75;4;3°;Intera proprietà;450;50;;1930.0;buono/abitabile;autonomo;assente;
1000;               Affitto            ;rebaudengo;Intera proprietà;75;3;1°;Intera proprietà;530;;;;buono/abitabile;centralizzato;None;               A3              
1001;               Affitto, 4+4            ;rebaudengo;Intera proprietà;50;3;2°;Intera proprietà;395;50;33.0;1950.0;buono/abitabile;autonomo;None;               F              
1002;               Affitto            ;rebaudengo;Intera proprietà;50;2;3°;Intera proprietà;500;;;;ottimo/ristrutturato;centralizzato;None;               A3              
1003;               Affitto            ;rebaudengo;Intera proprietà;65;3;5°;Intera proprietà;570;80;;;buono/abitabile;centralizzato;None;               D              
1004;               Affitto, transitorio            ;rebaudengo;Intera proprietà;60;2;Con;Intera proprietà;400;50;;1968.0;ottimo/ristrutturato;centralizzato;assente;               E              
1005;               Affitto            ;rebaudengo;Intera proprietà;80;2;;Intera proprietà;470;50;66.0;1970.0;buono/abitabile;assente;assente;
1006;               Affitto, transitorio            ;rebaudengo;Intera proprietà;73;2;1°;Intera proprietà;500;75;;2013.0;ottimo/ristrutturato;autonomo;None;               B              
1007;               Affitto, 3+2            ;rebaudengo;Intera proprietà;45;2;3°;Intera proprietà;325;50;73.0;;buono/abitabile;centralizzato;assente;               C              
1008;               Affitto, 4+4            ;rebaudengo;Intera proprietà;70;1;Piano;Classe immobile economica;430;;;;buono/abitabile;centralizzato;None;
1009;               Affitto, concordato            ;barriera-di-lanzo;Intera proprietà;80;3;1°;Intera proprietà;425;60;100.0;1960.0;buono/abitabile;centralizzato;None;               G              
1010;               Affitto            ;barriera-di-lanzo;Intera proprietà;60;3;2°;Intera proprietà;500;;;;ottimo/ristrutturato;autonomo;None;               Non classificabile              
1011;               Affitto, 4+4            ;barriera-di-lanzo;Intera proprietà;220;5;Piano;Intera proprietà;1200;;;;ottimo/ristrutturato;autonomo;None;
1012;               Affitto, libero            ;barriera-di-lanzo;Intera proprietà;65;3;1°;Intera proprietà;480;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1013;               Affitto, concordato            ;barriera-di-lanzo;Intera proprietà;130;5;2°;Intera proprietà;500;50;;1970.0;buono/abitabile;autonomo;None;               F              
1014;               Affitto            ;barriera-di-lanzo;Intera proprietà;104;4;5°;Intera proprietà;530;100;;1970.0;buono/abitabile;centralizzato;centralizzato;               G              
1015;               Affitto, 4+4            ;barriera-di-lanzo;Intera proprietà;50;2;3°;Intera proprietà;490;50;4.0;;ottimo/ristrutturato;centralizzato;autonomo;               F              
1016;               Affitto            ;barriera-di-lanzo;Intera proprietà;60;3;1°;;500;;;;ottimo/ristrutturato;centralizzato;None;               F              
1017;               Affitto, 4+4            ;barriera-di-lanzo;Intera proprietà;65;3;4°;Intera proprietà;450;90;;1960.0;ottimo/ristrutturato;centralizzato;assente;               F              
1018;               Affitto            ;barriera-di-lanzo;Intera proprietà;55;2;3°;;490;45;;;buono/abitabile;centralizzato;None;               G              
1019;               Affitto            ;barriera-di-lanzo;Intera proprietà;80;3;2°;Intera proprietà;450;67;66.0;1988.0;buono/abitabile;centralizzato;None;               F              
1020;               Affitto, transitorio            ;falchera;Intera proprietà;32;1;1°;Intera proprietà;990;;;;ottimo/ristrutturato;autonomo;presente;               Non classificabile              
1021;               Affitto, concordato            ;falchera;Intera proprietà;90;4;2°;Intera proprietà;550;65;75.0;1950.0;buono/abitabile;centralizzato;None;               E              
1022;               Affitto            ;falchera;Intera proprietà;95;3;8°;Intera proprietà;570;80;;;ottimo/ristrutturato;autonomo;None;               F              
1023;               Affitto            ;falchera;Intera proprietà;85;4;6°;Intera proprietà;480;70;;;buono/abitabile;centralizzato;autonomo;               E              
1024;               Affitto            ;falchera;Intera proprietà;80;3;3°;Intera proprietà;774;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1025;               Affitto            ;falchera;Intera proprietà;80;3;9°;Intera proprietà;656;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1026;               Affitto            ;falchera;Intera proprietà;50;2;6°;;400;50;;;buono/abitabile;centralizzato;presente;
1027;               Affitto, concordato            ;falchera;Intera proprietà;89;3;9°;Intera proprietà;610;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1028;               Affitto            ;barca;Intera proprietà;80;3;6°;Intera proprietà;577;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1029;               Affitto, 4+4            ;barca;Intera proprietà;60;2;2°;Intera proprietà;400;50;62.0;1959.0;ottimo/ristrutturato;centralizzato;None;               F              
1030;               Affitto, 4+4            ;barca;Intera proprietà;100;5;5°;Intera proprietà;580;90;91.0;1980.0;buono/abitabile;centralizzato;assente;
1031;               Affitto, 4+4            ;barca;Intera proprietà;50;2;4°;Intera proprietà;380;30;56.0;;;autonomo;None;
1032;               Affitto, transitorio            ;barca;Intera proprietà;110;4;Piano;Intera proprietà;650;60;50.0;1990.0;ottimo/ristrutturato;autonomo;None;               E              
1033;               Affitto, 4+4            ;barca;Intera proprietà;25;1;Piano;Intera proprietà;325;25;;;ottimo/ristrutturato;autonomo;None;
1034;               Affitto, transitorio            ;barca;Intera proprietà;60;2;;Intera proprietà;550;60;66.0;;;;None;
1035;               Affitto            ;barca;Intera proprietà;47;2;3°;Intera proprietà;330;45;52.0;1970.0;buono/abitabile;centralizzato;None;               E              
1036;               Affitto            ;barca;Intera proprietà;80;3;4°;Intera proprietà;380;50;56.0;1960.0;buono/abitabile;centralizzato;None;               E              
1037;               Affitto, 4+4            ;barca;Intera proprietà;68;3;Ultimo;Intera proprietà;450;65;83.0;1984.0;ottimo/ristrutturato;centralizzato;assente;               E              
1038;               Affitto, transitorio            ;barca;Intera proprietà;110;4;Piano;Intera proprietà;650;60;50.0;1990.0;ottimo/ristrutturato;autonomo;assente;               E              
1039;               Affitto            ;barca;Intera proprietà;80;3;3°;Intera proprietà;774;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1040;               Affitto            ;barca;Intera proprietà;80;3;9°;Intera proprietà;656;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1041;               Affitto            ;barca;Intera proprietà;30;;4°;Intera proprietà;400;1;;;autonomo;"
                non classificabile              ";None;0
1042;               Affitto, 4+4            ;barca;Intera proprietà;25;1;3°;Intera proprietà;280;30;33.0;1966.0;buono/abitabile;autonomo;autonomo;               G              
1043;               Affitto, concordato            ;barca;Intera proprietà;89;3;9°;Intera proprietà;610;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1044;               Affitto            ;bertolla;Intera proprietà;80;3;6°;Intera proprietà;577;;;2014.0;nuovo/incostruzione;centralizzato;None;               A              
1045;               Affitto, transitorio            ;bertolla;Intera proprietà;81;2;2°;Intera proprietà;750;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1046;               Affitto            ;bertolla;Intera proprietà;80;1;2°;;800;;;;ottimo/ristrutturato;autonomo;presente;               A+              
1047;               Affitto            ;borgo-vittoria;Intera proprietà;47;2;3°;Intera proprietà;330;45;52.0;1970.0;buono/abitabile;centralizzato;assente;               E              
1048;               Affitto            ;borgo-vittoria;Intera proprietà;50;2;3°;Intera proprietà;450;;;;buono/abitabile;autonomo;None;               Non classificabile              
1049;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;60;2;3°;Intera proprietà;450;50;;;buono/abitabile;centralizzato;assente;               G              
1050;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;55;2;Piano;Intera proprietà;450;50;;;buono/abitabile;centralizzato;None;               G              
1051;               Affitto            ;borgo-vittoria;Intera proprietà;55;1;3°;Intera proprietà;450;50;;1950.0;buono/abitabile;centralizzato;assente;               G              
1052;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;85;3;3°;Intera proprietà;480;30;;1960.0;buono/abitabile;centralizzato;None;
1053;               Affitto            ;borgo-vittoria;Intera proprietà;70;2;2°;Intera proprietà;450;30;50.0;1942.0;;autonomo;autonomo;               G              
1054;               Affitto            ;borgo-vittoria;Intera proprietà;50;2;3°;Classe immobile signorile;450;;;;ottimo/ristrutturato;autonomo;None;               D              
1055;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;55;2;3°;Intera proprietà;450;50;50.0;;ottimo/ristrutturato;centralizzato;None;               D              
1056;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;55;2;Piano;Intera proprietà;450;50;50.0;;buono/abitabile;centralizzato;assente;               D              
1057;               Affitto, concordato            ;borgo-vittoria;Intera proprietà;60;2;2°;Intera proprietà;425;50;;1960.0;ottimo/ristrutturato;centralizzato;None;               E              
1058;               Affitto            ;borgo-vittoria;Intera proprietà;80;3;5°;Intera proprietà;500;;;1986.0;ottimo/ristrutturato;centralizzato;None;               D              
1059;               Affitto            ;borgo-vittoria;Intera proprietà;56;2;5°;Intera proprietà;341;60;;1965.0;ottimo/ristrutturato;centralizzato;None;               G              
1060;               Affitto            ;borgo-vittoria;Intera proprietà;50;2;3°;Intera proprietà;337;25;;;;autonomo;None;
1061;               Affitto, concordato            ;borgo-vittoria;Intera proprietà;65;3;5°;Intera proprietà;400;50;66.0;1950.0;buono/abitabile;centralizzato;assente;               F              
1062;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;75;3;2°;Intera proprietà;470;85;83.0;;buono/abitabile;centralizzato;assente;               F              
1063;               Affitto, concordato            ;borgo-vittoria;Intera proprietà;60;2;2°;Intera proprietà;425;50;;1960.0;ottimo/ristrutturato;centralizzato;None;               E              
1064;               Affitto            ;borgo-vittoria;Intera proprietà;110;4;4°;Intera proprietà;550;;;;buono/abitabile;centralizzato;None;
1065;               Affitto            ;borgo-vittoria;Intera proprietà;80;3;5°;Intera proprietà;470;60;;;;assente;assente;
1066;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;51;2;4°;Intera proprietà;400;50;50.0;1945.0;ottimo/ristrutturato;centralizzato;None;               D              
1067;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;60;3;4°;Intera proprietà;400;;;1930.0;ottimo/ristrutturato;autonomo;assente;               D              
1068;               Affitto            ;borgo-vittoria;Intera proprietà;45;2;1°;Intera proprietà;350;;;1955.0;buono/abitabile;centralizzato;assente;               F              
1069;               Affitto, 4+4            ;borgo-vittoria;Intera proprietà;90;3;4°;Intera proprietà;600;70;66.0;1960.0;buono/abitabile;centralizzato;None;               F              
1070;               Affitto, concordato            ;borgo-vittoria;Intera proprietà;70;3;4°;Intera proprietà;330;40;;1960.0;buono/abitabile;centralizzato;None;               E              
1071;               Affitto, libero            ;borgo-vittoria;Intera proprietà;30;1;1°;Intera proprietà;290;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1072;               Affitto            ;parco-dora;Intera proprietà;50;2;;Intera proprietà;360;;;;;assente;assente;
1073;               Affitto, 4+4            ;parco-dora;Intera proprietà;70;2;Su;Intera proprietà;800;150;;2009.0;ottimo/ristrutturato;centralizzato;autonomo;               D              
1074;               Affitto            ;parco-dora;Intera proprietà;55;2;7°;Intera proprietà;320;50;;;;centralizzato;None;               F              
1075;               Affitto, 4+4            ;parco-dora;Intera proprietà;48;2;4°;Intera proprietà;350;50;50.0;1970.0;buono/abitabile;centralizzato;None;               E              
1076;               Affitto, libero            ;parco-dora;Intera proprietà;90;4;4°;Intera proprietà;750;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1077;               Affitto, libero            ;parco-dora;Intera proprietà;90;4;4°;Intera proprietà;750;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1078;               Affitto, concordato            ;parco-dora;Intera proprietà;80;3;2°;Intera proprietà;470;;;1960.0;ottimo/ristrutturato;autonomo;None;               E              
1079;               Affitto            ;parco-dora;Intera proprietà;64;2;1°;Intera proprietà;480;80;;;ottimo/ristrutturato;autonomo;None;               C              
1080;               Affitto            ;parco-dora;Intera proprietà;70;3;3°;Intera proprietà;330;50;;;;autonomo;assente;               E              
1081;               Affitto, 4+4            ;parco-dora;Intera proprietà;80;4;4°;Intera proprietà;350;;;1960.0;buono/abitabile;assente;assente;               F              
1082;               Affitto            ;parco-dora;Intera proprietà;100;4;9°;Classe immobile signorile;950;;;2011.0;;autonomo;autonomo;               A+              
1083;               Affitto            ;parco-dora;Intera proprietà;95;4;Piano;Intera proprietà;900;;;1800.0;buono/abitabile;autonomo;autonomo;
1084;               Affitto            ;parco-dora;Intera proprietà;50;3;Piano;Intera proprietà;500;;;1800.0;buono/abitabile;autonomo;autonomo;
1085;               Affitto, studenti (6-36 mesi)            ;le-vallette;Intera proprietà;70;1;4°;Intera proprietà;395;75;;;ottimo/ristrutturato;autonomo;None;               E              
1086;               Affitto, 4+4            ;le-vallette;Intera proprietà;60;2;7°;Intera proprietà;400;70;;1970.0;buono/abitabile;centralizzato;autonomo;               G              
1087;               Affitto            ;le-vallette;Intera proprietà;50;1;Piano;Intera proprietà;350;;;1981.0;ottimo/ristrutturato;centralizzato;assente;               D              
1088;               Affitto, libero            ;le-vallette;Intera proprietà;75;3;7°;Intera proprietà;454;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1089;               Affitto            ;le-vallette;Intera proprietà;55;2;1°;Intera proprietà;330;50;35.0;;buono/abitabile;autonomo;None;               G              
1090;               Affitto, 3+2            ;le-vallette;Intera proprietà;50;2;2°;Intera proprietà;340;40;;1950.0;buono/abitabile;autonomo;None;               F              
1091;               Affitto, 4+4            ;le-vallette;Intera proprietà;70;3;4°;Intera proprietà;410;50;79.0;;;centralizzato;None;               G              
1092;               Affitto            ;le-vallette;Intera proprietà;75;3;Piano;Intera proprietà;450;50;79.0;;buono/abitabile;autonomo;assente;               G              
1093;               Affitto, 4+4            ;le-vallette;Intera proprietà;70;2;4°;Intera proprietà;550;50;66.0;1970.0;buono/abitabile;centralizzato;assente;
1094;               Affitto, transitorio            ;le-vallette;Intera proprietà;65;2;1°;Intera proprietà;750;150;;1700.0;ottimo/ristrutturato;autonomo;None;               E              
1095;               Affitto            ;le-vallette;Intera proprietà;230;5;;Intera proprietà;7000;;;1963.0;;autonomo;None;               G              
1096;               Affitto            ;lucento;Intera proprietà;70;3;Oltre;Classe immobile signorile;600;130;;;buono/abitabile;autonomo;None;
1097;               Affitto            ;lucento;Intera proprietà;55;2;2°;Intera proprietà;415;;;;buono/abitabile;centralizzato;None;               Non classificabile              
1098;               Affitto            ;lucento;Intera proprietà;50;1;Piano;Intera proprietà;350;;;;buono/abitabile;centralizzato;None;               Non classificabile              
1099;               Affitto, 4+4            ;lucento;Intera proprietà;45;1;1°;Intera proprietà;530;50;41.0;;ottimo/ristrutturato;assente;assente;               E              
1100;               Affitto            ;lucento;Intera proprietà;30;1;1°;Intera proprietà;290;;;1980.0;ottimo/ristrutturato;centralizzato;None;               D              
1101;               Affitto, libero            ;lucento;Intera proprietà;30;1;Piano;Intera proprietà;280;;;;ottimo/ristrutturato;autonomo;None;               A+              
1102;               Affitto, 4+4            ;lucento;Intera proprietà;75;1;Piano;Intera proprietà;500;150;;1970.0;ottimo/ristrutturato;centralizzato;assente;               E              
1103;               Affitto, libero            ;lucento;Intera proprietà;70;3;2°;Intera proprietà;495;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1104;               Affitto, libero            ;lucento;Intera proprietà;32;1;5°;Intera proprietà;350;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1105;               Affitto, concordato            ;lucento;Intera proprietà;50;2;4°;Intera proprietà;320;;;;ottimo/ristrutturato;;None;               Non classificabile              
1106;               Affitto, 4+4            ;lucento;Intera proprietà;40;2;2°;Intera proprietà;370;20;0.0;2001.0;ottimo/ristrutturato;autonomo;assente;               C              
1107;               Affitto            ;lucento;Intera proprietà;54;2;2°;;415;;;;ottimo/ristrutturato;autonomo;None;               D              
1108;               Affitto            ;lucento;Intera proprietà;20;1;Ultimo;Classe immobile signorile;275;;;;buono/abitabile;centralizzato;None;               F              
1109;               Affitto            ;lucento;Intera proprietà;40;1;1°;;330;;;;buono/abitabile;autonomo;None;               F              
1110;               Affitto, transitorio            ;lucento;Intera proprietà;50;1;1°;Intera proprietà;350;;;;ottimo/ristrutturato;;None;               Non classificabile              
1111;               Affitto, 4+4            ;lucento;Intera proprietà;50;2;2°;Intera proprietà;410;50;50.0;;ottimo/ristrutturato;centralizzato;assente;               D              
1112;               Affitto, libero            ;lucento;Intera proprietà;75;3;7°;Intera proprietà;454;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1113;               Affitto, libero            ;lucento;Intera proprietà;50;1;Piano;Intera proprietà;350;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1114;               Affitto, libero            ;lucento;Intera proprietà;28;1;7°;Intera proprietà;250;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1115;               Affitto, libero            ;lucento;Intera proprietà;45;2;1°;Intera proprietà;320;;;;ottimo/ristrutturato;autonomo;None;
1116;               Affitto            ;lucento;Intera proprietà;60;2;3°;Intera proprietà;350;58;;1970.0;buono/abitabile;centralizzato;assente;               G              
1117;               Affitto, transitorio            ;lucento;Intera proprietà;79;3;4°;Intera proprietà;550;90;50.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
1118;               Affitto, libero            ;lucento;Intera proprietà;28;1;Oltre;Intera proprietà;250;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1119;               Affitto            ;lucento;Intera proprietà;38;1;2°;Intera proprietà;350;40;;;ottimo/ristrutturato;centralizzato;presente;               G              
1120;               Affitto            ;lucento;Intera proprietà;55;2;1°;Intera proprietà;330;50;35.0;;buono/abitabile;autonomo;assente;               G              
1121;               Affitto, transitorio            ;lucento;Intera proprietà;19;1;1°;Intera proprietà;275;;30.0;1970.0;buono/abitabile;centralizzato;assente;               F              
1122;               Affitto, 3+2            ;lucento;Intera proprietà;65;3;2°;Intera proprietà;410;60;108.0;;buono/abitabile;centralizzato;None;               G              
1123;               Affitto, transitorio            ;lucento;Intera proprietà;60;2;Ultimo;Classe immobile media;500;50;66.0;1963.0;ottimo/ristrutturato;centralizzato;None;               D              
1124;               Affitto, 4+4            ;lucento;Intera proprietà;50;2;2°;Intera proprietà;550;30;41.0;;ottimo/ristrutturato;autonomo;None;               E              
1125;               Affitto, 4+4            ;lucento;Intera proprietà;40;2;3°;Intera proprietà;350;70;50.0;1960.0;buono/abitabile;centralizzato;None;               E              
1126;               Affitto            ;lucento;Intera proprietà;50;3;Piano;Intera proprietà;500;30;;;ottimo/ristrutturato;autonomo;None;
1127;               Affitto, 4+4            ;lucento;Intera proprietà;50;2;1°;Intera proprietà;400;58;;1970.0;ottimo/ristrutturato;centralizzato;assente;               F              
