,Price,Rooms,Surface,Bathrooms,Floor,Zona
411,950,3,110,2,3,centro
412,625,4,90,1,1,centro
413,900,2,70,,A,centro
414,2250,5+,340,3,3,centro
415,3500,2,130,1,2,centro
416,620,2,50,1,T,centro
417,500,1,55,1,A,centro
418,1700,5,200,2,2,centro
419,750,3,70,1,5,centro
420,1600,4,112,2,4,centro
421,1100,2,70,1,3,centro
422,390,1,30,1,,centro
423,2400,4,124,2,4,centro
424,2250,3,112,2,3,centro
425,1900,3,104,2,4,centro
426,1300,3,65,1,3,centro
427,1200,3,70,1,1,centro
428,2200,3,114,2,2,centro
429,1100,2,55,1,2,centro
430,1300,4,90,1,2,centro
431,360,1,27,,5,centro
432,1600,2,61,1,1,centro
433,,4,160,3,3,centro
434,600,1,45,1,,centro
435,,5+,300,3,3,centro
436,1400,5,135,2,4,centro
437,1500,2,90,1,,centro
438,1000,3,80,1,,centro
439,820,3,75,1,2,centro
440,1100,4,120,1,4,centro
441,650,2,65,1,A,centro
442,800,2,65,1,3,centro
443,1500,3,113,1,A,centro
444,900,2,55,1,,centro
445,1600,2,70,1,,centro
446,900,3,90,2,,centro
447,1800,4,200,,2,centro
448,700,2,90,1,S,centro
449,650,3,70,1,A,centro
450,650,2,60,1,,centro
451,650,2,55,1,A,centro
452,3100,3,190,2,,centro
453,680,2,60,1,3,centro
454,900,3,70,1,4,centro
455,2000,3,110,2,2,centro
456,1300,3,70,1,1,centro
457,1200,3,60,1,,centro
458,900,2,70,2,R,centro
459,430,2,40,1,2,centro
460,1700,5,190,2,3,centro
461,1100,3,70,1,3,centro
462,680,1,55,1,1,centro
463,,5,180,2,2,centro
464,700,4,70,2,T,centro
465,2500,5+,220,2,2,centro
466,5500,5,200,3,A,centro
467,1550,5+,165,3,4,centro
468,4500,3,185,3,1,centro
469,270,1,15,1,A,centro
470,750,3,95,1,3,centro
471,,2,50,1,2,centro
472,1000,2,65,1,4,centro
473,950,4,100,1,4,centro
474,1719,5,174,3,,centro
475,950,4,92,1,4,centro
476,620,2,42,1,T,centro
477,950,2,50,1,1,centro
478,900,3,85,2,4,centro
479,850,3,90,1,2,centro
480,1170,3,104,1,2,centro
481,750,3,105,1,1,centro
482,2350,5+,295,3,3,centro
483,800,2,65,1,A,centro
484,700,2,70,2,5,centro
485,1150,3,85,1,1,centro
486,1700,4,130,2,4,centro
487,1400,3,90,2,5,centro
488,350,1,15,1,4,centro
489,1600,,80,,A,centro
490,1100,2,60,1,1,centro
491,,4,180,2,4,centro
492,900,1,55,1,5,centro
493,2150,5+,300,2,3,centro
494,750,4,75,1,,centro
495,1200,3,75,1,A,centro
496,1500,2,85,1,2,centro
497,480,1,40,1,2,centro
498,450,2,55,1,,centro
499,950,3,79,2,2,centro
500,2850,5+,300,3,2,centro
501,2000,4,119,2,5,centro
502,1500,4,140,2,A,centro
503,1000,2,55,1,3,centro
504,300,1,20,1,1,centro
505,1300,5,150,1,1,centro
506,2300,,220,,2,centro
507,980,2,58,1,1,centro
508,1100,2,50,1,3,centro
509,1200,5,155,1,1,centro
510,670,3,89,1,,centro
511,1300,5,137,2,3,centro
512,2500,5,210,2,2,centro
513,300,1,30,1,,centro
514,600,3,65,1,1,centro
515,1750,5,190,3,3,centro
516,2000,4,150,2,A,centro
517,750,3,70,1,2,centro
518,1000,1,45,1,2,centro
519,1000,2,55,1,2,centro
520,390,1,32,1,3,centro
521,600,1,30,1,1,centro
522,850,2,55,1,1,centro
523,1850,3,105,2,2,centro
524,850,3,70,1,3,centro
525,650,2,60,1,5,centro
526,1200,5,116,1,1,centro
527,1800,4,190,2,3,centro
528,1200,1,60,,2,centro
529,1700,5,200,2,2,centro
530,550,2,45,1,2,centro
531,1200,3,80,1,2,centro
532,900,2,70,1,A,centro
533,2000,5,180,2,2,centro
534,900,2,90,1,1,centro
535,650,2,50,1,2,centro
536,520,3,60,1,1,centro
537,1000,2,60,1,2,centro
538,1200,2,40,1,2,centro
539,980,2,58,1,1,centro
540,900,3,90,1,3,centro
541,3150,5+,400,3+,3,centro
542,750,2,70,1,1,centro
543,3900,5+,330,2,3,centro
544,1500,3,65,1,3,centro
545,1200,4,140,2,4,centro
546,500,1,40,1,3,centro
547,500,2,40,1,3,centro
548,2500,3,126,2,4,centro
549,2100,3,85,2,,centro
550,,3,70,1,5,centro
551,600,1,50,1,8,centro
552,800,2,50,1,4,centro
553,1100,2,60,1,3,centro
554,1500,5,165,2,A,centro
555,950,2,48,1,2,centro
556,840,3,60,1,5,centro
557,600,2,40,1,A,centro
558,,5+,300,3+,2,centro
559,4300,5,190,,,centro
560,450,2,45,1,5,centro
561,700,2,50,1,1,centro
562,900,2,50,1,5,centro
563,3150,5+,450,3+,3,centro
564,1500,2,120,2,,centro
